,I_c,I_w,A,g,tryb_awaryjny
2001-03,169.15583021692598,200.70435416019947,184.25610344333367,1.0059905489118863,False
2001-04,170.45454230704783,202.07242582836196,185.59138680835463,1.0072468881088197,False
2001-05,172.4025873605811,203.38053106196023,187.2520487841214,1.008947947446945,False
2001-06,172.2402541197282,204.62764185833927,187.73682918809803,1.00258891909127,False
2001-07,171.75323131552017,205.81271743590045,188.01329544860383,1.0014726266641525,False
2001-08,171.2662085113121,206.9524028663384,188.26564578069832,1.0013421940799043,False
2001-09,171.75323131552017,208.0462869112208,189.03074363763685,1.004063927084338,False
2001-10,172.4025873605811,209.09395552920924,189.8640011552847,1.0044080528998245,False
2001-11,172.56494368308347,210.09499185863004,190.40753776618817,1.0028627681266389,False
2001-12,172.88961016478916,211.0489761999412,191.0187823772461,1.00321019124678,False
2002-01,174.35065549576387,211.95548599809445,192.23573528272772,1.0063708546894528,False
2002-02,174.51296565496725,212.8140958247911,192.7143455883985,1.0024897051787318,False
2002-03,174.8376552183224,213.6243773606328,193.26040783152436,1.0028335318860595,False
2002-04,175.64934450423618,214.3858993771644,194.0534531940879,1.0041035066181527,False
2002-05,175.32467802253046,215.09822771881008,194.1958483542254,1.000733793487277,False
2002-06,174.67532197746957,215.76092528470107,194.13425533445124,0.9996828303988156,False
2002-07,173.86363269155578,216.3735520103949,193.95744835118484,0.9990892540682128,False
2002-08,173.21427664649488,216.9840514025172,193.86782999639956,0.9995379483719384,False
2002-09,173.70127636905343,217.5924072578789,194.41213662965708,1.0028076170928806,False
2002-10,174.1882991732615,218.19860330057332,194.9554913073958,1.0027948598639898,False
2002-11,174.02596593240864,218.8026231816997,195.13415346304737,1.0009164253566465,False
2002-12,174.1882991732615,219.40445047908565,195.49344761396992,1.0018412673770642,False
2003-01,174.8376552183224,220.00406869700817,196.1249487175857,1.003230292939857,False
2003-02,174.99998845917528,220.60146126591465,196.4821955689937,1.001821526805967,False
2003-03,175.48698818173386,221.19661154214185,197.020626218514,1.0027403533839854,False
2003-04,175.81167774508907,221.78950280763436,197.46692025465768,1.0022652147884692,False
2003-05,175.81167774508907,222.38011826966223,197.72966820925143,1.0013305922544136,False
2003-06,175.64934450423618,222.96844106053743,197.89962232762048,1.000859527656665,False
2003-07,174.99998845917528,223.5544542373292,197.7928889306434,0.9994606690213872,False
2003-08,174.35065549576387,224.15423586936416,197.69025761522929,0.9994811172637752,False
2003-09,175.16232170002814,224.76786219395044,198.42091771142563,1.0036959843393929,False
2003-10,176.13636730844428,225.395409779941,199.2494132654774,1.0041754446235185,False
2003-11,176.62336703100283,226.0369555290348,199.80842864848117,1.002805606168882,False
2003-12,176.94803351270855,226.69257667708249,200.28181558728352,1.0023692040521233,False
2004-01,177.59741263941893,227.3623507953972,200.9451796706716,1.0033121533347542,False
2004-02,177.7597227986223,228.04635579207024,201.33915910928604,1.0019606314481402,False
2004-03,178.24674560283037,228.7446699132909,201.9232353792841,1.0029009571341312,False
2004-04,179.7077909338051,229.4573717446727,203.06471232026516,1.0056530242239676,False
2004-05,181.49350274648552,230.18454021258268,204.39422320914767,1.0065472275989815,False
2004-06,183.11688131831303,230.92625458547735,205.6368049601321,1.006079338894588,False
2004-07,182.95454807746015,231.68259447524224,205.88196708218868,1.001192209352329,False
2004-08,182.1428587915464,232.440786427172,205.76061173023467,0.999410558614366,False
2004-09,182.629858514105,233.20083447963228,206.3720800069293,1.0029717460088832,False
2004-10,183.76621428172447,233.96274267763877,207.35102484636752,1.0047435914751903,False
2004-11,184.2532370859325,234.72651507285784,207.9642282510961,1.002957320346899,False
2004-12,184.41557032678537,235.49215572360728,208.3948660722073,1.0020707302632412,False
2005-01,184.5779035676383,236.259668694856,208.82603847528523,1.0020690164359831,False
2005-02,184.41557032678537,237.0290580582246,209.07378823235643,1.0011863930325935,False
2005-03,184.5779035676383,237.8003278919857,209.50581373794785,1.002066378139718,False
2005-04,185.38961593520156,238.57348228106363,210.30702853782608,1.0038243081926137,False
2005-05,185.8766156577601,239.34852531703496,210.92485355833765,1.0029377288282135,False
2005-06,185.5519260944049,240.125461098128,211.08231051195347,1.0007465073506487,False
2005-07,185.2272596126992,240.904293729223,211.2393006909385,1.0007437391537182,False
2005-08,185.06492637184635,241.68746409987355,211.4896516348763,1.0011851532509288,False
2005-09,185.8766156577601,242.47499231584396,212.29797679985188,1.003822055399529,False
2005-10,186.68830494367384,243.26689856822475,213.10815315845267,1.0038162227017575,False
2005-11,186.36363846196812,244.0632031337766,213.2709697795109,1.0007640093475785,False
2005-12,186.03894889861292,244.86392637527516,213.43436341424388,1.0007661316254244,False
2006-01,186.3817344751672,245.6690887418578,213.98184704932615,1.0025651147562389,False
2006-02,186.3817344751672,246.4787107693712,214.3341541248116,1.00164643440714,False
2006-03,186.1938498483305,247.29281308072075,214.57959107828265,1.0011451135936464,False
2006-04,187.3211576093505,248.11141638622067,215.5841314511864,1.0046814348366304,False
2006-05,188.4484653703705,248.93454148394636,216.5902405934453,1.0046668979552733,False
2006-06,187.88481148986048,249.76220926008736,216.6253115499724,1.000161923069253,False
2006-07,188.0726961166972,250.59444068930196,217.09438521595345,1.0021653686848724,False
2006-08,188.63637307885665,251.505801162459,217.81446724122424,1.003316907641598,False
2006-09,188.8242346240438,252.49708291429437,218.3519370788713,1.002467558029797,False
2006-10,188.63637307885665,253.56908447833152,218.7060868401213,1.0016219217744886,False
2006-11,188.8242346240438,254.7226107331988,219.3121109586393,1.0027709522275945,False
2006-12,188.63637307885665,255.95847294927648,219.73410749347528,1.0019241825405418,False
2007-01,189.3878885045538,257.2774888356756,220.73794501703264,1.004568419236359,False
2007-02,189.9515423850638,258.680482587551,221.6681227700951,1.004213945875915,False
2007-03,190.89096551924715,260.1682849337516,222.8537078634557,1.005348469047082,False
2007-04,191.83038865343045,261.741733184809,224.07592107065943,1.0054843745653657,False
2007-05,192.7698348692633,263.4016712812678,225.33507644656208,1.005619324780129,False
2007-06,192.7698348692633,265.14894984235974,226.08122274277943,1.003311274516084,False
2007-07,192.2061809887533,266.98442621502414,226.5304768596565,1.0019871359126018,False
2007-08,191.4546424814066,268.84622378941225,226.87410089756423,1.0015168998126491,False
2007-09,192.9577194960999,270.7346270469133,228.5614495570054,1.0074373789373297,False
2007-10,194.0850041754704,272.6499232064842,230.0375219045192,1.0064580984692506,False
2007-11,195.40019656332709,274.59240224937093,231.6363731677805,1.0069503933533284,False
2007-12,195.9638504438371,276.5623569440448,232.8008255023549,1.0050270703113235,False
2008-01,197.2790659133432,278.56008287135484,234.4228507411433,1.0069674376595883,False
2008-02,198.0305813390404,280.5858784498983,235.7214131659631,1.005539402070721,False
2008-03,198.78211984638705,282.6400449616115,237.03119476336292,1.0055564811860247,False
2008-04,199.5336583537337,284.7228865775818,238.35225859190024,1.005573375394138,False
2008-05,201.03673536842703,286.8347103840836,240.1339496322093,1.007475033174993,False
2008-06,201.41252770374984,288.97582640884013,241.2537080384144,1.0046630574640534,False
2008-07,201.41252770374984,291.14654764751265,242.15813447808387,1.0037488602642552,False
2008-08,200.6609891964032,293.25481145760426,242.57947265522608,1.0017399298935397,False
2008-09,201.2246430769132,295.29980248404735,243.76545562391604,1.0048890491668914,False
2008-10,201.9761815842598,297.280697725406,245.03799743158615,1.0052203533286252,False
2008-11,202.3519277562837,299.1966664697496,246.05491711893848,1.0041500489638804,False
2008-12,202.1640662110965,301.046870230017,246.69993799315097,1.0026214508605031,False
2009-01,203.1034662636303,302.8304626788639,248.0038642043632,1.0052854744181103,False
2009-02,204.98233561364648,304.5465895829922,249.8532994296701,1.0074572839066045,False
2009-03,206.4854126283398,306.19438873695606,251.44517235936877,1.0063712303713113,False
2009-04,207.98848964303303,307.7729898964405,253.0083779669779,1.006216884551575,False
2009-05,209.11579740405307,309.28151471100915,254.3140785940213,1.0051607011496426,False
2009-06,209.4915666577264,310.7190766563166,255.1333497588544,1.0032214935538075,False
2009-07,209.67945128456304,312.0847809657808,255.80806403858332,1.002644555407463,False
2009-08,208.9279127772164,313.425162045077,255.8969810645268,1.000347592740196,False
2009-09,208.9279127772164,314.74000774159225,256.4331743065546,1.002095348056852,False
2009-10,209.11579740405307,316.02910464556834,257.0732934803749,1.0024962416643295,False
2009-11,209.67945128456304,317.2922380835314,257.93344563705926,1.003345941326846,False
2009-12,209.67945128456304,318.52919211168825,258.4357293798479,1.001947338552967,False
2010-01,210.99464367241973,319.73974950929164,259.7371257937951,1.005035667541288,False
2010-02,211.37041292609305,320.9236917719719,260.4491759395831,1.0027414261384924,False
2010-03,211.93406680660303,322.0807991050364,261.26594419221743,1.0031359986058233,False
2010-04,212.87351302243584,323.2108504167359,262.3033152195748,1.0039705558662253,False
2010-05,213.4371438212964,324.3136233114985,263.0980301369473,1.0030297555206549,False
2010-06,214.0007977018064,325.3888940831292,263.8815698321848,1.0029781283228525,False
2010-07,213.62505152978247,326.4364377079772,264.0738548712562,1.0007286793056207,False
2010-08,212.68560531394968,327.52009561074925,263.9295545926126,0.9994535609035816,False
2010-09,214.0007977018064,328.64012818434634,265.19662439079804,1.0048007878471257,False
2010-10,215.1281054628263,329.79679729441244,266.3617093158375,1.0043932871608598,False
2010-11,215.31599008966305,330.9903662868685,266.9597693046601,1.0022452926524563,False
2010-12,216.25541322384635,332.2210999954836,268.0384510871604,1.0040406155028898,False
2011-01,218.88579799955963,333.4892647494815,270.17783743115695,1.0079816397062409,False
2011-02,219.2615903348824,334.7951283811856,270.93857659113417,1.0028156978648224,False
2011-03,221.32832123008575,336.1389602336997,272.7582661782248,1.006716243991481,False
2011-04,222.45560590945627,337.52103116862713,274.01358633433017,1.0046023175528074,False
2011-05,223.7707982973129,338.94161357382615,275.4001369745382,1.0050601528878802,False
2011-06,222.83139824477905,340.4009813712038,275.41246638966857,1.0000447690958538,False
2011-07,222.0798597374324,341.8994100245473,275.552123966705,1.0005070851689002,False
2011-08,222.0798597374324,343.3619453630088,276.1408565666966,1.0021365562040188,False
2011-09,222.2677443642691,344.7883042087238,276.8308484610313,1.00249869542274,False
2011-10,223.7707982973129,346.1782017685098,278.3245813126604,1.00539583236454,False
2011-11,225.27387531200625,347.53135162566906,279.8030278126632,1.005311950863377,False
2011-12,226.21332152783907,348.8474657317522,280.9162578594352,1.0039786204440837,False
2012-01,227.71639854253235,350.1262543982825,282.3641083543788,1.0051540288411078,False
2012-02,228.6558216767157,351.3674262884408,283.4470101595998,1.0038351255459916,False
2012-03,229.78312943773568,352.57068840870966,284.6309823799407,1.004177049599762,False
2012-04,231.09832182559236,353.73574610047854,285.9156121892339,1.0045133168517066,False
2012-05,231.47409107926563,354.8623030316082,286.6032607151154,1.002405075122048,False
2012-06,231.84986033293896,355.9500611879548,287.2750806664727,1.0023440764410043,False
2012-07,230.72255257191895,356.9987208648536,286.99765877590187,0.9990342987984644,False
2012-08,229.97101406457236,358.05175173266883,286.9521291671458,0.9998413589541104,False
2012-09,230.158898691409,359.10917049978974,287.4929063337338,1.0018845553373572,False
2012-10,231.09832182559236,360.1709939352768,288.5046139469836,1.003519069830806,False
2012-11,231.28620645242896,361.2372388690755,289.0487685622937,1.00188612101507,False
2012-12,231.47409107926563,362.3079221922292,289.5943662785303,1.0018875628460566,False
2013-01,231.66197570610228,363.3830608570947,290.1414100335996,1.0018889999902247,False
2013-02,231.66197570610228,364.4626718775558,290.5720954225981,1.0014843982075798,False
2013-03,232.03774495977564,365.54677232924087,291.23984742579705,1.0022980596337985,False
2013-04,232.97716809395897,366.63537934973823,292.26301922062663,1.0035131586693,False
2013-05,232.78928346712223,367.728510138814,292.5803417621336,1.0010857430486868,False
2013-06,232.78928346712223,368.82618195863046,293.0166934187608,1.001491390891128,False
2013-07,233.54082197446897,369.9284121339642,293.92751732608525,1.0031084369176972,False
2013-08,232.78928346712223,371.03416425237066,293.8924586275257,0.99988072331955,False
2013-09,232.97716809395897,372.1434495219896,294.4502114014359,1.001897812473702,False
2013-10,233.35293734763223,373.25627918650207,295.1278521787094,1.0023013764332118,False
2013-11,232.97716809395897,374.37266452524256,295.3308029868892,1.0006876708066743,False
2013-12,233.1650527207956,375.4926168533116,295.8914594997157,1.0018984017486705,False
2014-01,233.35293734763223,376.6161475216887,296.45317383481535,1.001898379683041,False
2014-02,233.54082197446897,377.7432679173462,297.0159478626343,1.0018983572364537,False
2014-03,233.7287066013056,378.8739894633627,297.5797834567202,1.0018983344097965,False
2014-04,233.7287066013056,380.0083236190371,298.0249217384478,1.0014958619720629,False
2014-05,233.54082197446897,381.1462818800034,298.35082698522666,1.0010935503141072,False
2014-06,233.54082197446897,382.2878757783452,298.79729707637654,1.0014964600422307,False
2014-07,233.1650527207956,383.4331168827111,299.0036837780704,1.0006907247947463,False
2014-08,232.2256295866123,384.5665508345015,298.84144522722085,0.9994574028359798,False
2014-09,232.2256295866123,385.68810376169085,299.2768997435741,1.00145714231847,False
2014-10,232.2256295866123,386.7977014736748,299.707089918438,1.0014374319408963,False
2014-11,231.84986033293896,387.8952694600693,299.88908624377245,1.0006072473139829,False
2014-12,231.09832182559236,388.9807328895065,299.8212710820464,0.9997738658562888,False
2015-01,230.72255257191895,390.0540166084267,299.99043043541553,1.0005642006411308,False
2015-02,230.53466794508236,391.1150451398647,300.2758349578677,1.0009513787557751,False
2015-03,230.91043719875563,392.163742682233,300.9230819931478,1.0021555082358555,False
2015-04,231.84986033293896,393.2000331081006,301.93272886359983,1.003355165924012,False
2015-05,231.84986033293896,394.22383996296713,302.32555670225565,1.001301044242982,False
2015-06,231.84986033293896,395.2350864640328,302.7130647913351,1.001281757630107,False
2015-07,231.66197570610228,396.233695498964,302.9724092068783,1.0008567334737335,False
2015-08,230.72255257191895,397.2539266822646,302.74649458474335,0.9992543392887612,False
2015-09,229.97101406457236,398.29589379629607,302.64915429270474,0.9996784759071377,False
2015-10,230.158898691409,399.35971109410167,303.17683171234853,1.0017435284789644,False
2015-11,229.97101406457236,400.4454933011634,303.4647527671977,1.0009496802681888,False
2015-12,229.595244810899,401.55335561716464,303.6358690727446,1.0005638753891068,False
2016-01,228.467937049879,402.68341371775847,303.31542792330765,0.9989446531781128,False
2016-02,228.28005242304235,403.8357837563446,303.6241984529539,1.0010179849134622,False
2016-03,228.467937049879,405.0105823658489,304.1906182585117,1.0018655291918228,False
2016-04,229.21947555722565,406.2079266605125,305.1405707478287,1.0031228855602303,False
2016-05,229.40736018406236,407.4279342376856,305.7236772948952,1.0019109440138931,False
2016-06,229.78312943773568,408.6707231796278,306.4402677224347,1.0023439153744325,False
2016-07,229.031590930389,409.936412055315,306.41212220361695,0.999908153327802,False
2016-08,228.6558216767157,411.25494235939937,306.65263208359846,1.0007849228622283,False
2016-09,228.6558216767157,412.6266981419408,307.1636318143729,1.001666379731693,False
2016-10,229.78312943773568,414.0520656353369,308.45125934553494,1.0041919921429376,False
2016-11,229.97101406457236,415.5314332655548,309.12810464884103,1.0021943347053994,False
2016-12,231.66197570610228,417.0651916634188,310.83459636757266,1.005520338309809,False
2017-01,232.60139884028567,418.6537336759516,312.0567962450661,1.0039319943525469,False
2017-02,233.35293734763223,420.29745437777245,313.1735070831913,1.0035785499677057,False
2017-03,233.1650527207956,421.9967510825504,313.6796051932088,1.0016160310453175,False
2017-04,233.91659122814227,423.75202335451337,314.8374641447804,1.0036912152795476,False
2017-05,233.91659122814227,425.5636730200143,315.5097522159489,1.002135349657305,False
2017-06,233.54082197446897,427.4321041791525,315.9475351197982,1.001387541591899,False
2017-07,233.1650527207956,429.3577232174528,316.4035653561416,1.0014433732998438,False
2017-08,232.97716809395897,431.3438995892652,317.0067510336523,1.0019063807856643,False
2017-09,233.91659122814227,433.3912132479774,318.3981709608203,1.0043892438335495,False
2017-10,235.0438989891623,435.5002485779377,319.9401138283661,1.004842813207415,False
2017-11,236.17120675018225,437.67159442518,321.5049433767249,1.00489100766276,False
2017-12,236.73486063069225,439.9058441283517,322.7089225607999,1.0037448232410666,False
2018-01,237.48639913803893,442.2035955498449,324.06378938879675,1.004198417624296,False
2018-02,236.92274525752893,444.5654511071318,324.54224243225013,1.001476416246183,False
2018-03,236.73486063069225,446.9920178043073,325.29769909720324,1.0023277606615748,False
2018-04,237.86216839171223,449.4839072638373,326.97892415101563,1.005168266048233,False
2018-05,238.42582227222223,452.041735758517,328.2962420582773,1.0040287547910989,False
2018-06,238.6137068990589,454.6661242436391,329.3775482743212,1.003293690507283,False
